immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
transcription, RNA-dependent	0	0	0	0	0	0.0644609829142037	0	0	0.0743588397798763	0	0.0747368150644016	0	0	0.089378905442136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.431831436077895	0.632000898908042	0	0.598635862943723	0	0	0.0574730472842485	0.0489173057938718	0.040503282199195	0.0605176098343986	0.0515955565395819	0	0	0	0	0	0	0	0.308253343129099	0.274457904214255	0.281203278090596	0.250991344992417	0	0	0	0	0	0	0.0403268718139338	0.290877816094127	0.39010521909953	0.34545295273955	0.298855759309538	0.316187499913076	0	0	0	0	0.0382752012389194	0	0	0	0	0	0	0	0	0	0.384952896296586	0.248393409243821	0.246797798360203	0.243146582740298	0	0	0.0473563865625056	0	0.0574579942316988	0.0460940306101835	0.0443918661777125	0.249712880847898	0.0514288970789786	0.0517947083828207	0.0347089680411853	0.0450688789064714	0.237072299136173	0	0	0	0.0408008132572256	0.0341293643578661	0.0212254630217542	0	0.0368399971488933	0	0	0	0	0	0.0372478281938004	0	0	0	0	0.0461350397459333	0	0	0	0	0.237961177177854	0.0441615155728311	0.0373861802876071	0.0353127269485229	0.034309529757038	0	0	0	0.0325856393947805	0	0	0.0316431542100961	0.0515244303266896	0	0	0	0.0316645698774256	0.0309488253455767	0.0390941476852032	0	0	0.0365871000346698	0	0.0360398024345971	0.0408008132572256	0	0.0349632595349232	0.0294788871698775	0.0354236280774852	0.0279502720207979	0	0	0	0.0289151539662297	0	0	0.0224178213106187	0	0	0	0.0224178213106187	0	0	0	0	0	0	0	0	0.0440305664813192	0	0	0	0	0	0	0.0299570461544132	0.0282170047311125	0	0	0	0	0	0.963457736775894	0	0	0	0	0	0	0.173022952667807	0	0	0	0	0	0	0	0	0.235852357911612	0.236771136284683	0	0	0	0	0.0326158427467264	0.211976605160704	0.302729556574022	0.196402464718819	0	0.031383291980707	0.0252552964751418	0	0	0	0
regulation of liquid surface tension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788099439342523	0.886203222525986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99790331276583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.826646465583226	0	0	0
muscle development	0	0	0	0	0	0	0	0.449252476327606	0	0	0	0.460355506559964	0.507916700046911	0	0.618675894178933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444218079683714	0.573498833089133	0	0	0	0	0	0	0	0	0.312221183992144	0.343478195206783	0.349485546513388	0.482193785741983	0	0	0	0	0	0	0	0.404931976656488	0	0.404931976656488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313433716847076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265048011265172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462567902679363	0	0	0	0.46699887687659	0	0	0	0	0	0	0.97274306595579	0	0	0	0	0	0.268869919193884	0.255707675862342	0	0	0.366922866448091	0.251316567399762	0	0	0	0	0	0	0	0.289059444163582	0	0	0	0	0	0	0	0	0	0	0
neuromuscular synaptic transmission	0	0	0	0	0	0	0	0	0	0.148910480181379	0	0	0	0	0	0	0	0	0	0.264590917991767	0.122430222312835	0.263461066313396	0.238718500305798	0	0	0	0	0.113739501327453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117764291006583	0.103553843515372	0.209267910449293	0	0	0	0	0	0	0	0	0.0891039315956108	0.0950959469120154	0.0904060107252241	0	0.110914424278408	0.105380351318691	0	0	0	0	0	0	0	0	0	0.17193070948814	0	0	0	0	0.160361204755	0.157677090257674	0.157219639708934	0	0.0945682992233505	0.0957810554677859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.585198883817531	0.693873864261877	0	0	0	0	0	0	0	0	0	0.221042157323867	0	0	0.174452041673785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173563817334148	0	0.52929267514359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145199865924703	0	0	0	0	0.163675418450721	0	0	0	0	0	0	0	0	0.0977960221397918	0	0	0	0	0	0	0.11438480515475	0	0	0	0	0	0	0	0	0	0	0.990355238722818	0.152353263970045	0	0.0715916609046178	0	0	0	0	0	0	0	0	0	0	0	0	0.0753028557531743	0.0753028557531743	0	0	0	0	0	0	0	0	0	0	0.0654372646136766	0
JAK-STAT cascade	0	0	0	0	0	0	0	0	0	0.131010086393708	0	0	0	0	0	0	0	0	0	0.234599886132861	0.110065805364197	0.241627932113377	0.221282417064703	0	0	0	0	0.102991106038564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106280153528934	0.0945682992233505	0.614224653194594	0	0	0	0	0	0	0	0	0.0823695725491894	0.0874641844234981	0.0834810429023181	0	0.100669290685914	0.0960892531675594	0	0	0	0	0	0	0	0	0	0.513041083720057	0	0	0	0	0.153871355472405	0.473519187738768	0.47224240715676	0	0.0870176304499704	0.0880434061610629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199998448740609	0.18809935572951	0	0	0	0	0	0	0	0	0	0.206478221324357	0	0	0.519979880754105	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165559503422351	0	0.146644862514497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43850528440003	0	0	0	0	0.156818388019334	0	0	0	0	0	0	0	0	0.0897430771081027	0	0	0	0	0	0	0.103519926513068	0	0	0	0	0	0	0	0	0	0	0.152353263970045	0.995387288084826	0	0.0671787329769858	0	0	0	0	0	0	0	0	0	0	0	0	0.0704361022548753	0.0704361022548753	0	0	0	0	0	0	0	0	0	0	0.0617308018371049	0
protein targeting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362609091616698	0.54525199314889	0.278783054249596	0.25557403141155	0	0	0	0	0	0	0.54525199314889	0.311792760392176	0	0	0.215554660501262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297850397464513	0.291125424965443	0	0.242310513701597	0	0	0	0	0	0	0	0	0	0.244328749387911	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234187939462374	0.245358917144934	0.278278794065733	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235063368913976	0	0.246482821391041	0.231981677294655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231981677294655	0	0	0	0	0.20901147160731	0	0	0	0	0.210711100018275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267742246455185	0.249768913661301	0	0	0	0	0	0	0	0.990355238722818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1755142606106	0	0	0	0	0	0
cell proliferation	0	0	0	0	0	0	0	0	0	0.109455759826674	0	0	0	0	0	0	0	0	0	0.104187315470083	0.0944413246901658	0.103854262630192	0.0963763413855148	0	0	0	0	0.0891846850887834	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091640502035377	0.0827987349422355	0.0869901441047429	0	0	0	0	0	0	0	0	0.0732948867736334	0.0773014826771913	0.0741736390635406	0	0.0874383673288395	0.0839623353861168	0	0	0	0	0	0	0	0	0	0.0742594682783735	0	0	0	0	0.0701104937094551	0.0691333739002592	0.0689662889711335	0	0.0769524654876022	0.0777535737682385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090920670586319	0.0862122480066181	0	0	0	0	0	0	0	0	0	0.0908086784819922	0	0	0.0751503650714854	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0748370515821361	0	0.0691882149193182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0645171188278441	0	0	0	0	0.0713093612981054	0	0	0	0	0	0	0	0	0.079076187850652	0	0	0	0	0	0	0.0895809545032194	0	0	0	0	0	0	0	0	0	0	0.0715916609046178	0.0671787329769858	0	0.998622176960403	0	0	0	0	0	0	0	0	0	0	0	0	0.063692741935684	0.063692741935684	0	0	0	0	0	0	0	0	0	0	0.0564892616291307	0
mRNA capping	0	0	0	0	0	0.0328484558620943	0	0	0.0316231141082618	0	0.0353233849826338	0	0	0.0382879271685987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207873657696084	0.196134200823491	0	0.190706317181118	0	0	0.0309319506049277	0.0282707616231821	0.0252404606607722	0.031792775179027	0.0291450998361434	0	0	0	0	0	0	0	0.174246967322005	0.162907787888478	0.165260785925075	0.15434249365085	0	0	0	0	0	0	0.025171840513763	0.555808677408799	0.148964285831352	0.1377744281728	0.564541556361356	0.5123390880792	0	0	0	0	0.0225729985451159	0	0	0	0	0	0	0	0	0	0.147721941940777	0.444517830364542	0.442750547685162	0.438673548063004	0	0	0.0277422929990333	0	0.030927589833968	0.0273042356536076	0.0266978352314445	0.153858104116875	0.0290918464419289	0.0292085396687397	0.0212833264186396	0.0269412293807022	0.148964285831352	0	0	0	0.0253556854444264	0.0210639746879527	0.015316899797833	0	0.0237676579543109	0	0	0	0	0	0.0222116880737088	0	0	0	0	0.0273186201219404	0	0	0	0	0.149314747173354	0.0266143453543985	0.0239938061565698	0.0231224708718393	0.0211324633799329	0	0	0	0.0204655905330233	0	0	0.0200897808233937	0.0291223909015453	0	0	0	0.0215004707272088	0.0198076507058637	0.0246859653508782	0	0	0.0236621374980381	0	0.0234320057201047	0.0253556854444264	0	0.0229721224481895	0.0204699263753888	0.0231699684378198	0.0185350057473821	0	0	0	0.0189544423912998	0	0	0.0159282574271951	0	0	0	0.0159282574271951	0	0	0	0	0	0	0	0	0.0265667287833903	0	0	0	0	0	0	0.0206993484502956	0.0198534049384246	0	0	0	0	0	0.173022952667807	0	0	0	0	0	0	0.999760378601809	0	0	0	0	0	0	0	0	0.489615823911372	0.490814860464537	0	0	0	0	0.0219348667924482	0.401890969628918	0.126095790387898	0.131813406137185	0	0.0213704165007465	0.0173100843322619	0	0	0	0
anterior/posterior axis specification	0	0	0	0	0	0	0	0.308169061913381	0	0	0	0.260208433524608	0.334685573218644	0	0.320471685761137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305791807830228	0.304327564097595	0	0	0	0	0	0	0	0	0.728134767324218	0.782130064200681	0.257705331825555	0.269166345992772	0	0	0	0	0	0	0	0.286647707292706	0	0.286647707292706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730277977108418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208683156456213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261126189193428	0	0	0	0.262957258191174	0	0	0	0	0	0	0.268869919193884	0	0	0	0	0	0.998202839513569	0.202849308771697	0	0	0.219193599164173	0.200076128590526	0	0	0	0	0	0	0	0.223286641240092	0	0	0	0	0	0	0	0	0	0	0
cell differentiation	0	0	0	0	0	0	0	0.291000769280448	0	0	0	0.247861086584869	0.314532274526382	0	0.301946458725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288880102245855	0.287572992767898	0	0	0	0	0	0	0	0	0.226584999651831	0.242607144417974	0.245588864673827	0.255975776052377	0	0	0	0	0	0	0	0.271735602426657	0	0.271735602426657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227222923347608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200666270422233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248693671157357	0	0	0	0.250353977953947	0	0	0	0	0	0	0.255707675862342	0	0	0	0	0	0.202849308771697	0.998921703708141	0	0	0.210365907417871	0.192695214696504	0	0	0	0	0	0	0	0.214133072985179	0	0	0	0	0	0	0	0	0	0	0
sensory perception of sound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356607105408931	0	0	0	0.354410221994992	0	0	0	0	0	0	0.2760607873642	0	0	0.312851890818555	0.294123093339144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300724532781153	0.20455984170038	0	0	0.216983613264845	0.253370191828802	0	0.222089128766624	0	0.216012773305705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258705141821503	0	0	0	0	0	0	0	0	0	0	0	0	0.995387288084826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA localization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856129675276075	0.856129675276075	0.941801389197629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993889654346133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hemopoiesis	0	0	0	0	0	0	0	0.325857488934518	0	0	0	0.354534863302959	0.355652528257838	0	0.441556073407841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323200677764268	0.418052242087272	0	0	0	0	0	0	0	0	0.247172104719891	0.266361287098536	0.269959814919877	0.367347530173525	0	0	0	0	0	0	0	0.301890716128507	0	0.301890716128507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247931410038728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216646806365598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355845597398751	0	0	0	0.358462048788754	0	0	0	0	0	0	0.366922866448091	0	0	0	0	0	0.219193599164173	0.210365907417871	0	0	0.99712454322171	0.207384908707516	0	0	0	0	0	0	0	0.232428282735416	0	0	0	0	0	0	0	0	0	0	0
sex determination	0	0	0	0	0	0	0	0.285327325150542	0	0	0	0.243733157346012	0.307914609338575	0	0.295842662543524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283288252732941	0.282031146798406	0	0	0	0	0	0	0	0	0.223130388604463	0.238650964265541	0.241535653800198	0.251575534152643	0	0	0	0	0	0	0	0.266782098545744	0	0.266782098545744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223748981924289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197952058945111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244538195742622	0	0	0	0.246143302201062	0	0	0	0	0	0	0.251316567399762	0	0	0	0	0	0.200076128590526	0.192695214696504	0	0	0.207384908707516	0.999101419756784	0	0	0	0	0	0	0	0.211045136364603	0	0	0	0	0	0	0	0	0	0	0
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	0.277526834356746	0.221534713557661	0.18450564682624	0.160840382419271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226933843701467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202276650907822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999041514407237	0.940743864637549	0	0	0.173934359798817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
antigen processing and presentation	0.304681029654949	0.238502334905215	0.196126342629986	0.169600475127425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244771892847118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216328934519745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940743864637549	0.997963218115378	0	0	0.184224450266997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA polyadenylation	0	0	0	0	0	0.0471041340830652	0	0	0.0490030492839533	0	0.052365382346492	0	0	0.0591554218272724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305719244671769	0.280984870271792	0	0.269976548969533	0	0	0.0432605303076431	0.0382278165283933	0.0328886177240543	0.0449631900362835	0.0398441092562456	0	0	0	0	0	0	0	0.238132577675135	0.217447907559999	0.22166053957079	0.202451373833171	0	0	0	0	0	0	0.032772207610165	0.750600469265143	0.193297259481725	0.174867925491166	0.766615306128785	0.703895548925328	0	0	0	0	0.0302250219607968	0	0	0	0	0	0	0	0	0	0.191210596485356	0.581915847489998	0.578890922206166	0.571940871250688	0	0	0.0372678562790004	0	0.0432520011147518	0.0364815951231037	0.035407068420593	0.201618765905003	0.0397446481606451	0.0399627698017172	0.0279567077877028	0.0358364382110672	0.193297259481725	0	0	0	0.0330845219269677	0.0275794545847648	0.0184939224828812	0	0.0304314794586584	0	0	0	0	0	0.0295807263282019	0	0	0	0	0.0365072788660264	0	0	0	0	0.193887775090215	0.035260372226102	0.0308032086172802	0.0293817771303024	0.0276969840002048	0	0	0	0.0265625709439335	0	0	0.0259329338910682	0.0398016795811015	0	0	0	0.0268115653507523	0.025464733184071	0.0319533990519204	0	0	0.0302587088919846	0	0.0298833959873833	0.0330845219269677	0	0.029139438441548	0.0252277548749181	0.0294585133778448	0.0233992457546253	0	0	0	0.0240717135606777	0	0	0.0193926377448025	0	0	0	0.0193926377448025	0	0	0	0	0	0	0	0	0.035176841168952	0	0	0	0	0	0	0.0255771305544564	0.024297840048814	0	0	0	0	0	0.235852357911612	0	0	0	0	0	0	0.489615823911372	0	0	0	0	0	0	0	0	0.994668423890253	0.99132921652694	0	0	0	0	0.0274904675405189	0.510967916810961	0.156473965769491	0.165375569066368	0	0.026609624384483	0.0214803169474666	0	0	0	0
mRNA 3'-end processing	0	0	0	0	0	0.0473236032450797	0	0	0.0492925486163225	0	0.0526367575007818	0	0	0.059501969167841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307264774301245	0.282289898955071	0	0.271181105681202	0	0	0.0434455739010933	0.0383722385116064	0.0329954583596321	0.0451631199267223	0.040001026958369	0	0	0	0	0	0	0	0.239069242695672	0.218228651794179	0.222471884081016	0.203127974230821	0	0	0	0	0	0	0.03287829203408	0.753422140978796	0.193913963193534	0.175372486167104	0.769558905003645	0.706719186624277	0	0	0	0	0.0303349105331343	0	0	0	0	0	0	0	0	0	0.191814036526164	0.583844309584793	0.58079935440284	0.573803680272449	0	0	0.0374051029891489	0	0.0434369715934694	0.0366131015614487	0.0355309290291829	0.202289803306948	0.0399007818921192	0.0401206253865642	0.028050695884275	0.0359633264500337	0.193913963193534	0	0	0	0.0331926412584762	0.0276709190595468	0.0185350057473821	0	0.0305229299330147	0	0	0	0	0	0.0296859717689547	0	0	0	0	0.0366389708698713	0	0	0	0	0.194508258616941	0.035383206838573	0.030896910363899	0.0294670186009019	0.0277892309885758	0	0	0	0.0266474046052626	0	0	0.0260137873168414	0.0399582626036556	0	0	0	0.0268825278579145	0.0255426890741392	0.0320542405365569	0	0	0.0303491223763055	0	0.0299715772319235	0.0331926412584762	0	0.0292232775743409	0.0252905714017688	0.0295442013286135	0.0234650519171526	0	0	0	0.0241413620922619	0	0	0.0194378158003216	0	0	0	0.0194378158003216	0	0	0	0	0	0	0	0	0.0352990934768026	0	0	0	0	0	0	0.0256417012303042	0.024356105644941	0	0	0	0	0	0.236771136284683	0	0	0	0	0	0	0.490814860464537	0	0	0	0	0	0	0	0	0.99132921652694	0.99448870784161	0	0	0	0	0.0275650742643083	0.512454203411322	0.156877839375576	0.165826767694223	0	0.0266795205645248	0.0215357596086324	0	0	0	0
